Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.1137855052947998,878.846560824388,0.0003017057946398258,0.002651531,1,5.725,5.725,45.8,71.546875,71.546875,357.734375
100,100,0,0.11114740371704102,899.7061258810861,0.0009551740982739329,0.008593759874999999,4,3.6249999999999996,3.625,29.0,71.03515625,71.03515625,355.17578125
1000,1000,0,0.8194658756256104,1220.3070679868924,0.09033772275191322,0.11023976158,5,10.9375,12.0875,175.0,70.380859375,70.5859375,422.28515625
5000,5000,0,3.962595224380493,1261.799330205798,5.422095782497214,1.3683193653333334,6,14.016666666666666,17.4625,672.8,73.1825284090909,73.39453125,805.0078125
8000,8000,0,6.273093223571777,1275.2879185565419,16.54705392385821,2.6377822446,5,11.16625,14.5375,893.3,69.54401041666667,69.9453125,1043.16015625
10000,10000,0,9.520774841308594,1050.334680388843,24.7119671072122,2.595583607333333,6,9.610000000000001,17.2125,1153.2,69.54810855263158,70.03515625,1321.4140625
15000,15000,0,15.14832067489624,990.2087711186339,32.76677328089709,2.163063086933333,12,9.692708333333334,13.5625,1861.0,69.12876674107143,69.20703125,1935.60546875
20000,18949,1051,21.577874422073364,926.8753542999928,48.74054067789808,2.2588202954799996,15,10.94094827586207,16.8875,2538.3,68.76912006578948,68.87109375,2613.2265625
100,100,0,0.11106038093566895,900.411102118625,0.0015749158689810435,0.014180717333333332,3,4.65,4.65,37.2,67.359375,67.359375,336.796875
1000,1000,0,0.8048849105834961,1242.413650511918,0.09897170624238925,0.12296379885,4,12.774999999999999,14.975,204.39999999999998,70.57552083333333,70.8046875,423.453125
5000,5000,0,3.9393863677978516,1269.2332087230732,5.771596060561562,1.46510027748,5,10.089583333333334,12.025,484.3,69.58984375,69.9375,765.48828125
8000,8000,0,6.231847047805786,1283.7285540916437,9.255366434306021,1.4851722712875,8,11.3125,17.1625,905.0,69.57213541666667,70.1171875,1043.58203125
10000,10000,0,9.50769567489624,1051.7795627812975,24.070337370798857,2.5316688915857144,7,10.5725,14.5125,1268.7,67.66796875,68.0859375,1285.69140625
15000,15000,0,15.010404825210571,999.3068258097146,45.820637974126065,3.0525917526999993,9,10.133854166666667,16.5875,1945.7,70.59751157407408,70.9609375,1906.1328125
20000,18144,1856,22.83195400238037,875.9653246461024,61.5565797519265,2.6960714683249996,12,10.402232142857143,18.5125,2330.1,67.85857371794872,68.078125,2646.484375
