Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.11127066612243652,898.7094576207995,0.0016451333529385965,0.014784969033333335,3,4.7875,4.7875,38.3,91.70703125,91.70703125,458.53515625
1000,1000,0,0.8444328308105469,1184.2268129723577,0.1286882375112691,0.152396061375,4,11.712499999999999,12.6,187.39999999999998,94.03971354166667,94.33984375,564.23828125
5000,5000,0,3.880833864212036,1288.3829029911847,6.422288196795442,1.6548732621666664,6,14.379166666666668,17.875,690.2,94.27095170454545,94.77734375,1036.98046875
8000,8000,0,6.201582431793213,1289.993334441056,18.576695399026264,2.995476655085714,7,16.82125,19.025,1345.7,96.63567708333333,97.4609375,1449.53515625
10000,10000,0,9.511375188827515,1051.3726776067508,27.50260689402156,2.8915489451333336,9,15.040833333333333,19.425,1804.9,97.04605263157895,97.52734375,1843.875
15000,15000,0,14.674834966659546,1022.1580027359225,46.991199111889465,3.202162015358333,12,15.359090909090908,18.425,2703.2,96.53776041666667,97.41015625,2606.51953125
20000,18643,1357,21.33401608467102,937.469997239313,59.726901051341976,2.799608888185714,14,11.89537037037037,18.7375,2569.4,95.21970016891892,95.6796875,3523.12890625
30000,28231,1769,34.638192653656006,866.0959969813422,130.81115410043935,3.77650056423,20,15.454166666666667,25.2,5563.5,97.06368582589286,97.921875,5435.56640625
40000,29124,10876,63.0577392578125,634.3392654224315,214.40805735458275,3.4001862400739142,23,16.454687500000002,26.9,6318.6,92.61656868811882,93.48046875,9354.2734375
50000,38430,11570,72.404776096344,690.5621796753916,262.34205588042596,3.623270038586207,29,17.429583333333333,25.4125,8366.2,94.29208559782609,95.69140625,10843.58984375
60000,48782,11218,87.53834581375122,685.4139113807051,328.6301497892089,3.754127939410811,37,17.046029411764703,25.2,11591.3,95.29430885036497,96.59375,13055.3203125
70000,56463,13537,103.3916826248169,677.0370519455889,413.38175325397,3.99821090787381,42,18.53684210526316,26.825,14088.0,93.20542993012423,94.3359375,15006.07421875
80000,58970,21030,127.62310457229614,626.8457444919894,465.878045067006,3.6504208750312497,48,17.973232323232324,26.1625,14234.8,95.14527716708542,96.53125,18933.91015625
