Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.1366872787475586,731.5969775408681,0.0018320001874599456,0.013402858,1,0.25,0.25,2.0,50.14453125,50.14453125,100.2890625
1000,1000,0,1.0320053100585938,968.9872622295164,0.0760975167657753,0.07373752443333333,3,1.3225000000000002,1.3225000000000002,10.580000000000002,53.03125,55.21875,159.09375
5000,5000,0,4.891232252120972,1022.2372895566068,1.489390885809287,0.3045021804399999,10,1.687916666666667,1.9024999999999999,40.51,61.32734375,62.08984375,306.63671875
8000,8000,0,7.755979537963867,1031.4622364385702,1.8793560768530244,0.24231060276190478,21,1.659375,1.6975000000000002,53.1,67.37630208333333,67.93359375,404.2578125
10000,10000,0,10.652932167053223,938.708690075717,3.103627924088411,0.29134025031034494,29,1.6468749999999999,1.7550000000000001,79.05,70.779296875,71.41015625,566.234375
15000,15000,0,16.58509635925293,904.4264606657775,3.8176201534572596,0.23018377890384611,52,1.6619444444444444,2.1587499999999995,119.66,80.3135653409091,81.09375,883.44921875
20000,19837,163,23.294657468795776,858.5659620361829,7.379644156541516,0.3167955642372881,59,1.6672115384615382,2.0062500000000005,173.39,92.9796875,94.3046875,1394.6953125
100,100,0,0.12266039848327637,815.2590504883619,0.002205272298324108,0.017978682,1,0.0,0.0,0.0,49.72265625,49.72265625,99.4453125
1000,1000,0,1.0243866443634033,976.1939063754993,0.12639666073938607,0.12338764999999999,2,1.5387499999999998,1.5387499999999998,12.309999999999999,51.276041666666664,52.140625,153.828125
5000,5000,0,4.973455190658569,1005.3372973765379,1.3371946330476596,0.26886632769090907,11,1.5499999999999998,1.7862500000000001,37.2,64.003125,66.04296875,320.015625
8000,8000,0,8.019331932067871,997.5893338458075,1.9358295385750153,0.2413953624782608,23,1.6085,1.7962500000000001,64.34,70.45256696428571,71.9296875,493.16796875
10000,10000,0,11.128427982330322,898.5995161111672,3.29978393963629,0.2965184251428571,28,1.6335416666666667,1.7825,78.41,72.77783203125,74.04296875,582.22265625
15000,15000,0,17.011371850967407,881.76310126023,5.934997405428232,0.3488841145454544,33,1.43875,1.7712499999999998,115.1,80.91370738636364,81.95703125,890.05078125
20000,19651,349,23.03363037109375,868.2956042005072,7.556251744797405,0.32805300871199994,50,1.5502884615384613,1.9762499999999998,161.23,90.44661458333333,91.4375,1356.69921875
