Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.10968351364135742,911.7140459867056,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
100,100,0,0.11278271675109863,886.6606771026012,0.0010467356892749666,0.00928099375,2,0.0,0.0,0.0,0.0,0.0,0.0
1000,1000,0,0.7910544872283936,1264.1354244809177,0.09416808729086995,0.11904121499999999,2,0.0,0.0,0.0,0.0,0.0,0.0
5000,5000,0,4.0694005489349365,1228.6821952949863,3.3357226952743524,0.819708616825,4,0.0,0.0,0.0,0.0,0.0,0.0
8000,7999,1,6.865565299987793,1165.2354395368177,6.226497196323977,0.9069168996666666,6,0.0,0.0,0.0,0.0,0.0,0.0
10000,10000,0,8.359071731567383,1196.3050828043238,14.413006345823812,1.7242352749999998,4,0.0,0.0,0.0,0.0,0.0,0.0
15000,14997,3,13.771348476409912,1089.21795317973,15.153048504587527,1.1003314984399999,10,0.0,0.0,0.0,0.0,0.0,0.0
20000,19998,2,18.7489275932312,1066.727678185736,21.97657198827892,1.172150880576923,13,0.0,0.0,0.0,0.0,0.0,0.0
100,100,0,0.12951993942260742,772.0818929177574,0.0027001481567215917,0.020847354999999998,1,0.0,0.0,0.0,0.0,0.0,0.0
1000,1000,0,0.9934306144714355,1006.6128277434451,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5000,5000,0,4.515007019042969,1107.4179904729879,3.015014796557472,0.66777632545,4,0.0,0.0,0.0,0.0,0.0,0.0
8000,7998,2,6.86658239364624,1165.062842237578,12.039445334176825,1.7533387999999999,3,0.0,0.0,0.0,0.0,0.0,0.0
10000,9999,1,9.273338317871094,1078.3603118122544,6.130645671681582,0.6611044978124999,8,0.0,0.0,0.0,0.0,0.0,0.0
15000,15000,0,14.11797046661377,1062.475660752518,13.664227975365971,0.9678606431200001,10,0.0,0.0,0.0,0.0,0.0,0.0
20000,19999,1,18.99671220779419,1052.8137596248982,29.21348154139946,1.5378177666666666,9,0.0,0.0,0.0,0.0,0.0,0.0
