Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.13868975639343262,721.0337850498619,0.0038603269953675144,0.027834261849999997,2,0.0,0.0,0.0,0.0,0.0,0.0
1000,1000,0,1.460218906402588,684.8288264282315,0.33274669202885937,0.22787452659999996,3,0.0,0.0,0.0,0.0,0.0,0.0
5000,5000,0,5.6818718910217285,879.991681597187,9.87210538028314,1.7374741228999997,5,0.0,0.0,0.0,0.0,0.0,0.0
8000,8000,0,7.5876898765563965,1054.3393483591776,16.803620252472246,2.2145897533833336,6,0.0,0.0,0.0,0.0,0.0,0.0
10000,10000,0,9.554009199142456,1046.6810101980616,20.332497596233175,2.1281639123875,8,0.0,0.0,0.0,0.0,0.0,0.0
15000,15000,0,14.669007539749146,1022.5640664069435,47.9307032709625,3.2674809895,9,0.0,0.0,0.0,0.0,0.0,0.0
20000,20000,0,19.76887345314026,1011.6914374209334,63.6406799516884,3.219236548938461,13,0.0,0.0,0.0,0.0,0.0,0.0
100,100,0,0.1163167953491211,859.7210720932711,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1000,1000,0,0.9915883541107178,1008.4830018973206,0.2214016297216679,0.2232797801666667,3,0.0,0.0,0.0,0.0,0.0,0.0
5000,5000,0,4.7918431758880615,1043.4398239824202,8.473014651201346,1.7682161832499999,4,0.0,0.0,0.0,0.0,0.0,0.0
8000,8000,0,7.777479648590088,1028.6108561467277,13.358680864541235,1.7176105201333332,6,0.0,0.0,0.0,0.0,0.0,0.0
10000,9999,1,9.767050981521606,1023.8504968305288,22.892374351514494,2.343836885342857,7,0.0,0.0,0.0,0.0,0.0,0.0
15000,15000,0,14.876705884933472,1008.2877295565409,45.093883432127015,3.0311739561777773,9,0.0,0.0,0.0,0.0,0.0,0.0
20000,19999,1,20.24441623687744,987.9267332770895,66.43850329258906,3.281818676083333,12,0.0,0.0,0.0,0.0,0.0,0.0
